"team_api_id","num_fielded_players","team_long_name","buildUpPlay","chanceCreation","defence"
8689,94,"FC Lorient",149,147,162
8690,26,"Reggio Calabria",163,184,138
8696,59,"Racing Santander",147,159,151
8697,90,"SV Werder Bremen",174,192,183
8721,83,"VfL Wolfsburg",170,185,167
8722,71,"1. FC Köln",171,164,149
9746,31,"Le Havre AC",154,155,154
9747,41,"En Avant de Guingamp",158,134,145
9748,73,"Olympique Lyonnais",161,170,140
9761,73,"NAC Breda",153,128,115
9764,62,"Gil Vicente FC",176,147,132
9768,103,"Sporting CP",178,147,174
9771,60,"União de Leiria, SAD",72,148,154
9772,97,"SL Benfica",177,185,171
9773,93,"FC Porto",173,190,178
9776,25,"Eintracht Braunschweig",164,172,157
9777,34,"Servette FC",99,164,143
9783,90,"RC Deportivo de La Coruña",155,145,154
9788,73,"Borussia Mönchengladbach",116,113,128
9789,63,"Borussia Dortmund",148,163,176
9790,84,"Hamburger SV",150,167,134
9791,75,"Heracles Almelo",147,165,169
9798,27,"Reading",144,169,150
9800,81,"St. Mirren",124,164,166
9803,81,"Roda JC Kerkrade",133,146,118
9804,80,"Torino",174,159,137
9807,81,"CF Os Belenenses",156,128,135
9809,33,"Naval 1° de Maio",115,135,121
9810,84,"Eintracht Frankfurt",130,145,145
9817,20,"Watford",145,141,135
9823,65,"FC Bayern Munich",97,90,184
9824,53,"FC Vaduz",141,137,133
9825,67,"Arsenal",140,118,147
9826,42,"Crystal Palace",173,186,111
9827,72,"Girondins de Bordeaux",139,156,158
9829,99,"AS Monaco",137,133,169
9830,65,"FC Nantes",189,153,132
9831,94,"OGC Nice",156,153,165
9836,26,"Dijon FCO",154,153,149
9837,48,"Stade de Reims",134,158,127
9839,56,"VVV-Venlo",93,164,120
9847,66,"Paris Saint-Germain",130,158,166
9850,60,"Norwich City",138,147,128
9851,94,"Stade Rennais FC",167,165,141
9853,87,"AS Saint-Étienne",165,164,148
9855,39,"Grenoble Foot 38",100,150,140
9857,113,"Bologna",164,132,132
9858,26,"Brescia",141,158,150
9860,91,"Heart of Midlothian",168,176,158
9864,106,"Málaga CF",129,131,136
9865,65,"UD Almería",152,151,135
9867,19,"CD Tenerife",163,161,171
9868,20,"Xerez Club Deportivo",104,138,153
9869,65,"Real Sporting de Gijón",153,159,140
9873,60,"Valenciennes FC",160,174,144
9874,71,"FC Sochaux-Montbéliard",164,176,146
9875,80,"Napoli",160,189,157
9876,60,"Hellas Verona",124,148,158
9878,33,"Pescara",148,131,128
9879,72,"Fulham",134,152,98
9880,70,"Cesena",138,163,145
9882,108,"Sampdoria",130,130,154
9885,86,"Juventus",105,195,135
9888,63,"Lecce",95,135,140
9891,28,"Frosinone",157,151,159
9904,85,"Hannover 96",144,129,146
9905,81,"1. FSV Mainz 05",156,133,164
9906,84,"Atlético Madrid",157,172,143
9908,99,"FC Utrecht",143,147,159
9910,48,"RC Celta de Vigo",152,139,169
9911,30,"VfL Bochum",164,172,172
9912,20,"DSC Arminia Bielefeld",166,159,138
9925,106,"Celtic",156,164,169
9927,92,"Motherwell",165,116,132
9930,58,"FC Aarau",142,181,145
9931,86,"FC Basel",170,186,158
9938,94,"Dundee United",171,149,143
9941,79,"Toulouse FC",158,122,130
9956,104,"Grasshopper Club Zürich",164,152,126
9976,45,"Bari",157,143,156
9984,64,"KSV Cercle Brugge",145,152,168
9985,114,"Standard de Liège",161,173,151
9986,91,"Sporting Charleroi",160,146,136
9987,75,"KRC Genk",148,155,163
9989,93,"Lierse SK",171,169,152
9991,88,"KAA Gent",142,142,155
9993,72,"Beerschot AC",86,151,158
9994,70,"Sporting Lokeren",159,154,149
9996,13,"Royal Excel Mouscron",150,150,140
9996,13,"Royal Excel Mouscron",150,150,140
9997,72,"Sint-Truidense VV",107,154,113
9998,46,"RAEC Mons",160,168,138
9999,26,"KSV Roeselare",125,125,205
10000,87,"SV Zulte-Waregem",147,131,139
10001,79,"KVC Westerlo",148,144,146
10003,55,"Swansea City",131,125,120
10167,86,"Parma",147,176,132
10172,63,"Queens Park Rangers",130,166,148
10179,104,"FC Sion",155,165,146
10189,87,"FC Schalke 04",143,162,170
10190,76,"FC St. Gallen",146,115,128
10191,68,"FC Thun",152,166,145
10192,81,"BSC Young Boys",172,151,128
10194,68,"Stoke City",138,159,132
10199,72,"FC Luzern",165,160,151
10205,89,"Villarreal CF",126,143,139
10211,46,"SC Beira Mar",87,165,150
10212,96,"CS Marítimo",176,186,133
10214,101,"CD Nacional",167,150,141
10215,108,"Académica de Coimbra",150,166,138
10217,83,"ADO Den Haag",162,145,142
10218,66,"Excelsior",163,136,106
10219,63,"RKC Waalwijk",142,133,99
10228,87,"SC Heerenveen",150,152,138
10229,76,"AZ",154,173,166
10233,138,"Genoa",184,134,127
10235,82,"Feyenoord",131,146,129
10238,122,"Vitória Setúbal",149,158,132
10242,45,"ES Troyes AC",148,147,137
10243,72,"FC Zürich",157,151,146
10249,60,"Montpellier Hérault SC",162,142,157
10251,92,"Hibernian",148,139,124
10252,82,"Aston Villa",154,146,133
10260,69,"Manchester United",124,133,163
10261,78,"Newcastle United",152,147,131
10264,121,"SC Braga",145,166,120
10265,60,"Wisła Kraków",119,101,157
10267,90,"Valencia CF",116,146,147
10268,38,"Elche CF",151,164,158
10269,81,"VfB Stuttgart",155,172,117
10278,23,"Hércules Club de Fútbol",154,178,160
10281,67,"Real Valladolid",148,147,134
108893,28,"AC Arles-Avignon",156,138,158
158085,51,"FC Arouca",170,160,113
208931,33,"Carpi",190,160,115
274581,46,"Royal Excel Mouscron",150,150,140
