"player_api_id","num_appearences","num_leagues","player_name","overall_rating","gk_rating"
11746,2,1,"Pedro Alves",66,268
11747,56,1,"Alessandro Mangiarrati",60,47
11752,2,1,"Marco Paulo",61,117
11754,65,1,"Ruben Amorim",76,41
11758,203,2,"Eliseu",77,60
11759,22,1,"Carlos Milhazes,22",67,39
11760,5,1,"Jorge Baptista",64,250
11778,26,1,"Roversio",73,33
11788,22,1,"Rui Baiao,22",65,122
11795,12,1,"Ferreira",61,114
11796,103,1,"Briguel",64,37
11798,13,1,"Zeca",75,38
11801,39,1,"Luis Olim",63,45
11827,25,1,"Fernando Cardozo",68,36
11829,52,1,"Bruno Patacas",69,38
11833,64,1,"de Oliveira Cleber Monteiro",62,56
11836,29,1,"Marcelo Pereira Bruno",66,135
11840,24,1,"Miguel Fidalgo",68,46
11849,52,1,"Pedro Moreira",69,49
11851,33,1,"Nuno Silva",67,119
11860,59,1,"Jose Manuel Ze Gomes",67,37
11861,11,1,"Bruno Mendes",66,119
11863,175,1,"Danielson",71,38
11865,28,1,"Ferreira Delson,28",65,45
11876,26,1,"Laranjeiro",67,133
11897,28,1,"Flavio Meireles",70,49
11901,52,1,"Ricardo Pessoa",64,45
12005,1,1,"Ersen Martin",71,29
12099,25,1,"Marcel MBayo,25",62,39
12209,7,1,"Tomas Kosicky",64,246
12245,12,3,"Adam Nemec",66,54
12246,50,1,"Stanislav Sestak",68,42
12283,97,2,"Robert Demjan",65,49
12288,8,1,"Jan Durica",75,46
12307,96,1,"Miroslav Bozok",63,35
12310,8,1,"Rudolf Urban",57,33
12318,106,2,"Dusan Pernis",65,260
12320,23,1,"Dalibor Pleva",60,38
12327,33,1,"Matej Izvolt",62,41
12330,114,1,"Peter Pekarik",76,46
12340,73,1,"Richard Zajac,28",67,272
12371,4,1,"Kamil Kopunek",65,37
12374,179,1,"Pavol Stano",64,40
12381,1,1,"Jan Slovenciak",59,228
12386,52,1,"Krisztian Nemeth",71,49
12405,27,2,"Elvedin Dzinic",63,43
12418,3,1,"Dragan Jelic",63,42
12431,35,1,"Jure Travner",63,44
12454,1,1,"Branko Ilic",68,45
12473,65,2,"Marko Suler",63,29
12574,65,1,"Zlatan Ljubijankic",72,46
12692,40,1,"Kanu",70,35
12763,25,1,"Nicolae Ovidiu Herea",66,45
12766,80,2,"Cristian Sapunaru",70,49
12985,34,1,"Christos Karypidis",63,116
13033,81,2,"Orestis Karnezis",79,311
13034,7,1,"Michalis Sifakis",69,274
13131,70,1,"Tomislav Pacovski",66,254
13191,3,1,"Ioannis Maniatis",73,41
13225,29,1,"Fabian Pawela",61,40
13301,46,1,"Kamil Kuzera",64,41
13320,70,1,"Krzysztof Kotorowski",65,259
13327,41,1,"Pawel Sasin",60,32
13329,99,1,"Blazej Telichowski",62,45
13334,140,2,"Lukasz Madej",65,39
13345,143,2,"Pawel Kieszek",75,299
13349,77,1,"Antoni Lukasiewicz",58,50
13350,32,1,"Wojciech Szymanek",59,41
13376,142,1,"Jakub Rzezniczak",70,45
13383,127,1,"Maciej Korzym",62,43
13390,60,1,"Wojciech Skaba",59,236
13405,158,1,"Marcin Malinowski",64,46
13410,39,1,"Mariusz Zganiacz",64,43
13423,84,2,"Marcin Wasilewski",72,43
13425,34,1,"Wahan Gevorgyan",62,40
13428,117,2,"Slawomir Peszko",69,47
13436,125,1,"Krzysztof Pilarz",64,255
13437,155,1,"Piotr Celeban",71,41
13449,189,1,"Lukasz Tralka",70,54
13454,94,1,"Sebastian Przyrowski",60,215
13471,149,2,"Radoslaw Cierzniak",66,262
13472,36,1,"Arkadiusz Malarz",65,260
13473,90,1,"Maciej Mielcarz",62,249
13474,78,1,"Jaroslaw Bieniuk",66,45
13476,10,1,"Dawid Kucharski",63,37
13477,82,1,"Tomasz Lisowski",65,41
13480,85,1,"Grzegorz Wojtkowiak",67,42
13481,153,1,"Hubert Wolakiewicz",62,45
13483,28,1,"Filip Burkhardt",58,38
13486,68,1,"Marcin Kikut",62,32
13490,83,1,"Szymon Sawala",61,43
13494,48,1,"Jakub Szmatula",66,268
13504,96,1,"Mateusz Zytko",60,48
13513,45,1,"Pawel Strak",56,34
13515,90,1,"Lukasz Mierzejewski",62,44
13518,175,1,"Lukasz Piszczek",80,43
13533,90,1,"Piotr Polczak",67,44
13538,108,1,"Dawid Plizga",66,37
13549,22,1,"Vejlko Nikitovic",61,58
13551,170,1,"Tomasz Brzyski",69,61
13554,144,1,"Mariusz Pawelec",66,54
13557,26,1,"Dawid Soldecki",61,46
13917,95,1,"Liam Kelly",65,44
14039,160,1,"Paul Dixon",67,47
14100,156,1,"Alan Mannus",68,270
14487,14,1,"Roei Dayan",64,37
14521,81,2,"Maor Melikson",73,46
14533,14,1,"Gal Alberman",71,148
14551,3,1,"Dekel Keinan",65,33
14557,63,1,"Lior Rafaelov",77,42
14560,55,1,"Eden Ben Basat",73,43
14593,11,1,"Eliran Atar",69,38
14642,28,1,"Yoav Ziv",66,125
14658,58,1,"Vladimir Dvalishvili",67,49
15361,101,1,"Jasmin Buric",70,270
15403,174,3,"Edin Dzeko",80,54
15425,3,1,"Veldin Muharemovic",57,118
15456,4,1,"Josip Barisic",59,113
15608,62,1,"Amir Spahic",59,37
15652,1,1,"Ivica Dzidic",56,113
15661,6,1,"Davor Landeka",58,51
15662,29,1,"Sulejman Smajic",66,45
15732,113,1,"Ivan Radovanovic",73,22
15905,6,1,"Stanley Aborah",65,49
15913,2,1,"Dimitrija Lazarevski",59,111
15938,11,1,"Jovan Kostovski",66,53
16199,22,1,"Boban Bajkovic",67,265
16210,4,1,"Marko Perovic",70,34
16218,33,2,"Simon Vukcevic",71,45
16230,11,1,"Milan Smiljanic",62,43
16254,158,2,"Dusan Veskovac",70,45
16292,4,1,"Branko Lazarevic",62,38
16300,88,1,"Gojko Kacar",72,50
16323,2,1,"Nikola Nikezic",61,111
16351,157,2,"Aleksandar Kolarov",78,45
16362,27,1,"Andjelko Djuricic",68,277
16368,17,1,"Savo Pavicevic",67,120
16387,20,1,"Mladen Lazarevic",61,123
16428,5,1,"Ivan Stevanovic",65,40
16475,15,1,"Nikola Vukcevic",73,55
16493,76,1,"Pavle Ninkov",68,46
16511,37,1,"Konstantin Vassiljev",71,41
16636,14,2,"Mikhail Sivakov",61,49
16678,37,1,"Anton Putsila",70,44
17233,1,1,"Zlatko Janjic",65,48
17259,46,1,"Marnix Kolder",65,42
17276,69,1,"Aloys Nong",68,35
17296,2,1,"Claude Gnakpa",58,46
17299,16,1,"Carlos Carmona",72,52
17312,49,1,"Anther Yahia",64,33
17319,28,1,"Kenny Deuchar",65,111
17343,63,1,"David Barron",59,43
17361,43,1,"Iain Davidson",56,36
17391,10,1,"Andy Jackson",61,40
17480,113,1,"Martin Canning",63,38
17525,87,1,"Jim McAlister",64,51
17528,191,1,"Chris Millar",62,47
17568,50,1,"Gavin Skelton",61,43
17600,80,1,"Darren McGregor",63,44
17606,14,1,"Liam Buchanan",59,49
17620,41,1,"Stuart Kettlewell",61,35
17703,84,2,"Jeremy Perbet",72,39
17711,16,1,"Gareth Wardlaw",62,51
17749,116,1,"Iain Vigurs",67,49
17761,79,1,"Jacob Mulenga",69,40
17762,5,1,"Ghislain Gimbert",69,49
17806,50,1,"Nassim Akrour",65,45
17836,50,1,"Angelo",67,44
17848,97,1,"Robert Braber",64,40
17855,157,1,"Edouard Duplan",72,50
17866,40,1,"Andrew Reid",70,40
17869,117,1,"Dusan Kuciak",72,272
17875,117,2,"Jordan Loties",70,38
17883,19,1,"Emanuel Obiora Odita,19",65,115
17887,6,1,"Matt Done",63,30
18164,8,1,"Mariano Pavone",70,53
18376,22,1,"Matias Fritzler",66,44
18384,4,2,"Diego Valeri",77,45
18388,28,1,"Leandro Gioda,28",71,49
18395,5,1,"Marcos Aguirre",65,35
18483,6,1,"Pablo Javier Perez",76,52
18500,35,1,"Maximiliano Pellegrino",66,34
18501,67,1,"Hernan Pellerano",70,42
18506,119,2,"Mauro Zarate",76,50
18518,22,3,"Jose Sosa",80,43
